qtd_ponto_url,qtd_hifen_url,qtd_underline_url,qtd_barra_url,qtd_interrogacao_url,qtd_igual_url,qtd_arroba_url,qtd_comercial_url,qtd_exclamacao_url,qtd_til_url,qtd_virgula_url,qtd_mais_url,qtd_asterisco_url,qtd_hashtag_url,qtd_cifrao_url,qtd_porcento_url,qtd_tld_url,comprimento_url,qtd_ponto_dominio,qtd_hifen_dominio,qtd_underline_dominio,qtd_arroba_dominio,qtd_vogais_dominio,comprimento_dominio,formato_ip_dominio,server_client_dominio,qtd_ponto_diretorio,qtd_hifen_diretorio,qtd_underline_diretorio,qtd_barra_diretorio,qtd_igual_diretorio,qtd_arroba_diretorio,qtd_comercial_diretorio,qtd_exclamacao_diretorio,qtd_til_diretorio,qtd_virgula_diretorio,qtd_mais_diretorio,qtd_asterisco_diretorio,qtd_cifrao_diretorio,qtd_porcento_diretorio,comprimento_diretorio,qtd_ponto_arquivo,qtd_hifen_arquivo,qtd_underline_arquivo,qtd_igual_arquivo,qtd_arroba_arquivo,qtd_comercial_arquivo,qtd_exclamacao_arquivo,qtd_til_arquivo,qtd_virgula_arquivo,qtd_mais_arquivo,qtd_asterisco_arquivo,qtd_hashtag_arquivo,qtd_cifrao_arquivo,qtd_porcento_arquivo,comprimento_arquivo,qtd_ponto_parametros,qtd_hifen_parametros,qtd_underline_parametros,qtd_barra_parametros,qtd_interrogacao_parametros,qtd_igual_parametros,qtd_arroba_parametros,qtd_comercial_parametros,qtd_exclamacao_parametros,qtd_til_parametros,qtd_virgula_parametros,qtd_mais_parametros,qtd_asterisco_parametros,qtd_hashtag_parametros,qtd_cifrao_parametros,qtd_porcento_parametros,comprimento_parametros,presenca_tld_argumentos,qtd_parametros,email_na_url,extensao_arquivo,dominio_presente_em_rbl,tempo_resposta,possui_spf,localizacao_geografica_ip,tempo_ativacao_dominio,tempo_expiracao_dominio,qtd_ip_resolvido,qtd_nameservers,qtd_servidores_mx,valor_ttl_associado,certificado_tls_ssl,qtd_redirecionamentos,url_indexada_no_google,dominio_indexado_no_google,phishing
3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,57,2,0,0,0,6,22,False,False,1,0,0,3,0,0,0,0,0,9,0,0,0,0,35,1,0,0,0,0,0,0,0,9,0,0,0,0,0,21,0.852962,0.412544,0.628571,0.177003,0.061324,2.080836,0.162369,1.269686,0.000697,0,5.960976,0.064808,0,0,0.005575,0.255749,69.51777,False,1.878049,False,htm,False,0.854007,True,US,2761,160,1,2,1,14391,False,1,False,False,True
2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,36,2,1,0,0,9,26,False,False,0,0,0,1,0,0,0,0,0,9,0,0,0,0,10,0,0,0,0,0,0,0,0,9,0,0,0,0,0,9,0.852962,0.412544,0.628571,0.177003,0.061324,2.080836,0.162369,1.269686,0.000697,0,5.960976,0.064808,0,0,0.005575,0.255749,69.51777,False,1.878049,False,php,False,5.581802,True,US,715,14,1,2,1,590,False,0,False,False,True
1,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,37,1,0,0,0,3,11,False,False,0,3,0,2,0,0,0,0,0,0,0,0,0,0,26,0,3,0,0,0,0,0,0,0,0,0,0,0,0,19,0.852962,0.412544,0.628571,0.177003,0.061324,2.080836,0.162369,1.269686,0.000697,0,5.960976,0.064808,0,0,0.005575,0.255749,69.51777,False,1.878049,False,php,False,0.640347,False,US,8031,1304,1,4,5,290,True,1,False,False,False
1,6,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,61,1,0,0,0,3,13,False,False,0,6,0,3,0,0,0,0,0,0,0,0,0,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.852962,0.412544,0.628571,0.177003,0.061324,2.080836,0.162369,1.269686,0.000697,0,5.960976,0.064808,0,0,0.005575,0.255749,69.51777,False,1.878049,False,php,False,0.821947,True,US,8250,555.959321,1,4,4,275,True,1,False,False,False
2,2,0,5,0,0,0,0,0,0,0,0,0,0,0,0,1,54,2,1,0,0,5,18,False,False,0,1,0,5,0,0,0,0,0,9,0,0,0,0,36,0,0,0,0,0,0,0,0,9,0,0,0,0,0,14,0.852962,0.412544,0.628571,0.177003,0.061324,2.080836,0.162369,1.269686,0.000697,0,5.960976,0.064808,0,0,0.005575,0.255749,69.51777,False,1.878049,False,php,False,7.49028,False,TW,4090.257726,555.959321,1,2,0,15,False,0,False,False,True
1,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,44,1,0,0,0,6,18,False,False,0,1,0,3,0,0,0,0,0,9,0,0,0,0,26,0,0,0,0,0,0,0,0,9,0,0,0,0,0,9,0.852962,0.412544,0.628571,0.177003,0.061324,2.080836,0.162369,1.269686,0.000697,0,5.960976,0.064808,0,0,0.005575,0.255749,69.51777,False,1.878049,False,php,False,6.067636,True,AU,4090.257726,1149,1,2,1,14377,False,0,False,False,True
2,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,1,54,1,0,0,0,4,12,False,False,1,0,0,4,0,0,0,0,0,0,0,0,0,0,28,1,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,14,False,1,False,aspx,False,0.439746,False,GB,7131,172,2,5,2,3591,True,2,False,False,False
3,1,0,7,0,1,1,0,0,0,0,0,0,0,0,0,2,106,1,0,0,0,9,20,False,False,1,1,0,7,0,0,0,0,0,0,0,0,0,0,52,1,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1,0,0,0,0,1,1,0,0,0,9,0,0,0,0,0,34,True,1,True,php,False,0.929522,True,US,2819,102,1,2,1,14389,False,1,False,False,True
2,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1,76,2,0,0,0,7,21,False,False,0,0,0,4,0,0,0,0,0,9,0,0,0,0,55,0,0,0,0,0,0,0,0,9,0,0,0,0,0,9,0.852962,0.412544,0.628571,0.177003,0.061324,2.080836,0.162369,1.269686,0.000697,0,5.960976,0.064808,0,0,0.005575,0.255749,69.51777,False,1.878049,False,php,False,10.262321,False,US,845,981,1,2,1,4242,False,0,False,False,True
1,1,0,7,0,0,0,0,0,0,0,0,0,0,0,0,1,79,1,0,0,0,6,19,False,False,0,1,0,7,0,0,0,0,0,9,0,0,0,0,60,0,0,0,0,0,0,0,0,9,0,0,0,0,0,9,0.852962,0.412544,0.628571,0.177003,0.061324,2.080836,0.162369,1.269686,0.000697,0,5.960976,0.064808,0,0,0.005575,0.255749,69.51777,False,1.878049,False,php,False,4.339551,True,US,7039,265,2,2,1,14392,False,0,False,False,True
